Annee, mere
0,3
3992,4
6407,5
6589,6
7326,7
7823,8
7852,9
7980,10
8007,11
8047,12
8385,13
8497,14
8565,15
8622,16
8629,17
8658,18
8679,19
8702,20
8903,21
8963,22
9022,23
9112,24
9117,25
9171,26
9236,27
9240,30
9243,29
9246,28
9265,33
9286,32
9293,35
9295,31
9300,34
9310,37
9315,38
9318,36
9338,40
9347,39
9351,43
9364,41
9370,42
9378,44
9384,46
9405,45
9437,49
9464,48
9483,50
9487,51
9502,54
9523,53
9524,52
9531,55
9568,57
9576,56
9590,60
9592,58
9593,61
9605,63
9612,59
9614,62
9620,65
9625,64
9641,69
9645,66
9646,67
9650,72
9674,73
9675,68
9677,77
9678,70
9678,75
9680,71
9681,74
9685,80
9687,93
9688,84
9690,81
9691,79
9694,90
9707,76
9708,83
9708,78
9711,88
9712,85
9712,86
9719,82
9723,92
9725,89
9732,91
9734,94
9735,102
9735,87
9737,97
9738,98
9745,101
9748,100
9748,96
9749,103
9750,95
9752,99
9754,108
9757,105
9765,112
9769,104
9769,114
9773,110
9774,107
9774,111
9777,113
9777,109
9783,116
9785,106
9789,124
9789,122
9792,115
9796,126
9798,127
9803,136
9804,135
9807,119
9807,137
9808,120
9808,128
9811,130
9812,123
9813,125
9814,118
9815,133
9816,129
9821,131
9825,140
9827,121
9828,145
9838,143
9839,132
9840,156
9842,134
9843,138
9844,152
9845,153
9847,146
9848,139
9849,169
9849,163
9849,155
9850,141
9852,172
9856,144
9857,142
9859,167
9859,174
9860,151
9860,150
9860,148
9861,168
9862,157
9863,158
9863,165
9863,162
9863,147
9864,175
9864,154
9864,149
9864,164
9868,160
9868,179
9872,176
9872,183
9873,184
9880,170
9880,173
9880,159
9880,166
9881,181
9883,180
9884,192
9884,194
9884,188
9885,171
9887,177
9887,187
9887,201
9888,198
9889,178
9890,189
9892,197
9893,186
9894,204
9898,190
9898,182
9899,219
9899,193
9902,215
9904,191
9905,206
9905,200
9907,226
9907,199
9908,214
9908,185
9908,209
9909,210
9909,221
9910,255
9910,203
9910,205
9913,216
9913,261
9913,234
9914,271
9914,208
9915,202
9916,196
9917,207
9917,250
9918,212
9918,231
9919,211
9919,223
9919,229
9919,232
9920,236
9921,195
9921,243
9922,240
9922,235
9923,264
9923,230
9924,345
9924,237
9925,224
9926,228
9928,310
9928,450
9929,266
9930,248
9930,239
9930,285
9930,217
9931,455
9932,220
9932,385
9933,304
9934,327
9934,297
9934,408
9935,347
9936,425
9936,442
9936,244
9936,227
9937,356
9937,426
9937,225
9937,247
9937,305
9937,262
9938,492
9938,417
9938,249
9938,416
9939,218
9939,339
9939,341
9939,500
9940,246
9940,265
9940,404
9940,360
9940,322
9941,316
9941,283
9941,419
9942,213
9942,270
9942,378
9942,319
9942,292
9943,256
9943,315
9943,320
9943,395
9943,275
9943,383
9943,494
9943,222
9943,312
9944,454
9944,273
9945,489
9945,396
9945,438
9945,274
9945,238
9945,272
9945,355
9946,267
9946,473
9946,449
9946,314
9946,253
9947,252
9947,472
9947,317
9948,420
9948,344
9948,456
9948,241
9948,460
9949,245
9949,287
9949,474
9950,298
9950,242
9950,340
9950,260
9951,349
9951,511
9951,343
9951,409
9952,313
9952,447
9952,269
9952,397
9952,299
9952,289
9952,368
9953,311
9954,258
9954,257
9954,295
9954,400
9955,263
9955,463
9955,501
9955,393
9955,286
9956,301
9956,406
9956,259
9956,284
9956,363
9956,336
9956,332
9956,276
9956,374
9957,278
9958,359
9958,251
9958,382
9959,324
9959,370
9959,391
9959,480
9959,338
9959,361
9959,440
9960,268
9960,307
9960,290
9960,387
9961,282
9961,390
9961,358
9961,342
9961,352
9962,401
9962,300
9962,280
9963,357
9963,291
9964,491
9964,466
9964,334
9965,308
9966,277
9966,325
9966,471
9967,459
9967,331
9967,464
9968,353
9968,279
9968,296
9969,354
9970,362
9970,254
9970,365
9971,281
9971,453
9973,519
9973,333
9973,329
9974,467
9974,503
9974,502
9975,458
9976,288
9976,479
9976,346
9976,470
9976,328
9977,369
9977,323
9977,461
9978,446
9978,443
9978,375
9979,431
9979,372
9980,306
9981,326
9981,399
9981,392
9981,388
9982,384
9983,405
9983,407
9983,413
9984,434
9988,515
9988,293
9989,294
9990,318
9992,371
9992,380
9992,389
9993,436
9995,303
9996,495
9997,505
9997,507
9997,514
9997,517
9997,520
9997,302
9998,476
9998,508
9999,350
9999,477
10000,424
10000,521
