Annee, pere
0,3
800,4
1190,5
1439,6
3272,7
3881,8
5360,9
6302,10
6574,11
6832,12
7844,13
7888,14
7889,16
7909,15
7994,17
8029,18
8451,19
8458,20
8606,21
8744,23
8752,22
8884,26
8901,24
8910,25
8967,28
8970,27
9025,29
9066,30
9070,31
9109,32
9217,33
9225,34
9225,36
9235,35
9255,37
9276,38
9290,39
9303,40
9324,42
9331,41
9346,43
9351,45
9361,46
9379,44
9383,48
9387,49
9390,47
9450,50
9457,52
9473,51
9479,53
9495,54
9496,58
9506,56
9510,55
9516,57
9532,60
9545,59
9549,63
9553,61
9565,65
9567,64
9568,62
9573,69
9577,66
9580,68
9585,70
9602,67
9603,74
9606,71
9606,72
9611,75
9615,77
9625,73
9634,76
9637,79
9637,78
9652,80
9662,81
9664,82
9680,87
9686,85
9687,88
9694,84
9696,86
9698,92
9711,89
9712,90
9713,95
9716,94
9718,83
9720,97
9721,93
9734,91
9736,107
9737,105
9738,96
9739,99
9743,102
9750,109
9750,100
9753,111
9754,98
9754,101
9755,103
9756,106
9765,108
9767,112
9768,104
9769,110
9770,116
9772,115
9777,123
9778,125
9781,119
9782,118
9783,120
9784,114
9792,124
9793,127
9798,122
9798,128
9801,121
9802,126
9803,137
9803,134
9803,113
9805,131
9806,135
9806,129
9809,136
9812,130
9815,151
9817,132
9820,144
9821,139
9821,147
9822,140
9823,145
9824,138
9824,155
9825,141
9826,133
9827,153
9831,146
9831,158
9832,168
9836,165
9838,152
9839,162
9839,154
9841,149
9841,150
9843,164
9845,160
9845,143
9846,142
9851,170
9851,161
9855,172
9857,166
9858,175
9858,181
9859,159
9859,148
9862,167
9866,180
9868,187
9869,173
9870,185
9871,178
9873,203
9874,198
9874,156
9874,177
9875,169
9876,176
9878,171
9879,183
9879,179
9882,184
9883,206
9883,191
9885,199
9885,197
9885,163
9886,215
9886,186
9888,192
9889,190
9890,182
9891,205
9892,174
9892,225
9893,201
9893,218
9894,209
9898,196
9898,227
9899,238
9899,216
9899,221
9900,236
9901,208
9903,189
9904,204
9905,228
9905,194
9908,213
9908,210
9909,195
9910,202
9910,230
9911,248
9911,250
9912,207
9912,223
9912,222
9913,212
9914,235
9915,242
9915,211
9916,241
9917,233
9917,239
9918,444
9920,285
9921,200
9921,237
9921,229
9922,265
9923,318
9924,408
9925,243
9925,245
9925,339
9926,264
9926,251
9926,386
9927,263
9927,224
9927,307
9928,362
9929,258
9929,442
9930,360
9930,219
9930,257
9930,240
9931,267
9931,411
9931,231
9932,396
9932,324
9932,454
9932,354
9933,393
9933,255
9933,217
9933,234
9934,295
9934,259
9934,398
9934,246
9935,424
9935,358
9935,352
9935,323
9935,214
9936,262
9937,325
9938,272
9938,269
9939,281
9939,394
9940,279
9940,278
9940,276
9940,280
9941,422
9941,336
9941,452
9942,244
9942,301
9943,232
9943,389
9943,412
9944,425
9945,247
9945,314
9946,451
9946,446
9946,316
9947,343
9947,271
9947,434
9947,256
9947,407
9947,277
9948,349
9949,391
9949,439
9949,249
9950,260
9950,226
9951,270
9951,384
9952,359
9952,430
9952,441
9952,338
9952,399
9952,294
9953,327
9953,322
9953,410
9953,253
9953,298
9954,313
9954,340
9954,275
9955,348
9955,344
9955,283
9955,404
9955,290
9955,417
9956,252
9957,288
9957,328
9957,351
9957,282
9957,464
9957,296
9959,306
9959,369
9959,297
9959,268
9959,302
9959,293
9960,388
9960,254
9961,284
9961,332
9961,401
9962,445
9962,382
9962,287
9962,462
9962,395
9963,266
9963,321
9963,463
9963,363
9964,273
9965,459
9965,335
9965,450
9966,292
9966,421
9966,329
9967,331
9967,274
9967,456
9967,334
9967,311
9967,431
9968,309
9969,304
9969,378
9969,476
9970,261
9970,364
9970,289
9972,385
9972,320
9972,303
9973,315
9973,405
9974,330
9975,465
9975,458
9975,299
9975,371
9976,448
9977,433
9977,346
9978,418
9978,415
9978,414
9979,409
9979,403
9979,402
9979,400
9979,397
9979,381
9980,365
9980,380
9980,379
9980,376
9980,374
9980,373
9981,372
9983,432
9983,438
9984,440
9984,447
9988,286
9988,300
9989,305
9989,308
9989,310
9990,337
9990,341
9990,347
9991,356
9993,471
9995,319
9995,326
9997,472
9997,482
9998,455
9999,457
9999,481
9999,483
10000,484
10000,460
10000,485
