Annee, population
0,1483
100,1499
200,1687
300,1828
400,1863
500,1881
600,2082
700,2130
800,2057
900,2024
1000,1595
1100,1332
1200,1567
1300,1627
1400,1694
1500,1535
1600,1792
1700,1785
1800,1834
1900,1906
2000,2019
2100,2163
2200,2438
2300,2375
2400,2211
2500,2059
2600,2125
2700,2070
2800,2037
2900,2327
3000,2404
3100,2533
3200,2619
3300,2555
3400,2534
3500,2537
3600,2459
3700,2509
3800,2453
3900,2546
4000,2389
4100,2341
4200,2315
4300,2230
4400,2157
4500,2085
4600,2179
4700,2238
4800,2278
4900,2441
5000,2628
5100,2631
5200,2416
5300,2272
5400,2098
5500,2302
5600,2159
5700,2074
5800,2012
5900,2035
6000,1834
6100,1890
6200,2084
6300,2114
6400,2273
6500,2430
6600,2100
6700,1880
6800,1923
6900,1874
7000,1702
7100,1759
7200,2020
7300,1798
7400,1896
7500,1872
7600,1515
7700,1291
7800,1209
7900,1186
8000,1196
8100,1149
8200,1217
8300,1254
8400,1298
8500,1268
8600,1274
8700,1338
8800,1158
8900,1077
9000,1194
9100,1404
9200,1363
9300,1356
9400,1344
9500,1387
9600,1539
9700,1717
9800,1857
9900,2047
10000,2016
