Annee, mere
9992.675439155064,461
9993.281776944621,474
9993.295099107248,475
9993.799419133904,494
9993.93392459118,502
9994.449721723578,513
9994.46732440449,514
9994.626923165813,522
9994.840702122077,529
9994.984946501176,533
9995.11683489732,536
9995.241936801787,538
9995.458526516755,540
9995.831898487608,551
9995.835362365568,552
9996.00185321631,554
9996.040041624125,555
9996.189374982554,556
9996.361110729953,562
9996.51448733505,566
9996.713207046545,570
9997.036750155035,584
9997.184666211417,586
9997.299066395673,588
9997.38900039458,590
9997.553287570689,594
9997.574699777677,596
9997.839716918785,600
9997.889234922797,600
9997.91776899898,600
9998.068749699407,603
9998.199080343107,609
9998.28144225303,609
9998.622833533394,619
9998.634098297089,621
9998.901262039031,624
9999.014270954962,628
9999.092056355681,629
9999.123104970093,629
9999.177709293324,629
9999.297358467667,632
9999.360674607504,634
9999.37379197547,636
9999.463674620974,636
9999.56701108681,637
9999.617426889963,639
9999.809226271025,645
