Annee, pere
9977.606258759062,72
9991.183097442034,413
9991.713184759265,434
9993.04691341583,478
9993.387708481345,488
9993.863723999733,503
9993.946259195469,505
9994.049211745127,509
9994.20660318882,514
9994.83877019387,529
9995.755125949041,550
9996.083348287199,563
9996.10933737824,563
9996.10955930359,563
9996.725102013892,582
9996.77007784766,583
9997.441694633266,602
9997.503060501649,605
9997.53289345342,606
9997.573834816903,607
9997.729765134693,609
9997.827291942987,615
9997.980509582523,621
9998.125622374708,630
9998.209531833178,632
9998.653814109408,634
9998.765087153475,637
9998.96598015891,649
9999.053256722911,650
9999.067970764012,650
9999.172311816124,655
9999.215752614891,656
9999.375126939625,660
9999.744564272281,669
9999.968342091322,674
9999.973858869569,674
