Annee, population
0,7525
100,7991
200,7894
300,7193
400,7163
500,7249
600,7058
700,7168
800,6865
900,6931
1000,7286
1100,7590
1200,7377
1300,7961
1400,8190
1500,8652
1600,9031
1700,8817
1800,8909
1900,8631
2000,8461
2100,8303
2200,8675
2300,8539
2400,8062
2500,8345
2600,7683
2700,8078
2800,8189
2900,7697
3000,6995
3100,6723
3200,6206
3300,5868
3400,5680
3500,5685
3600,5896
3700,6001
3800,5784
3900,5550
4000,5630
4100,6134
4200,5918
4300,5589
4400,5599
4500,5339
4600,5182
4700,5157
4800,5210
4900,5324
5000,5346
5100,5621
5200,5698
5300,5988
5400,6177
5500,6204
5600,6174
5700,6706
5800,6860
5900,6828
6000,7128
6100,6963
6200,7390
6300,7542
6400,7656
6500,7376
6600,7586
6700,7036
6800,7409
6900,7518
7000,7838
7100,7696
7200,7634
7300,7970
7400,7870
7500,7690
7600,8022
7700,7961
7800,8086
7900,8309
8000,7883
8100,8261
8200,8456
8300,8513
8400,8566
8500,8377
8600,8671
8700,9073
8800,9406
8900,9013
9000,8680
9100,8901
9200,9015
9300,8738
9400,8799
9500,8386
9600,8278
9700,8088
9800,8141
9900,7934
10000,7917
10100,7583
10200,7424
10300,7390
10400,7652
10500,7860
10600,7615
10700,7956
10800,7655
10900,7937
11000,8118
11100,8120
11200,8352
11300,8247
11400,8186
11500,8594
11600,8933
11700,9306
11800,9036
11900,9166
12000,9273
12100,9550
12200,9920
12300,10007
12400,10191
12500,10215
12600,10134
12700,10093
12800,9270
12900,9462
13000,9101
13100,9557
13200,9781
13300,9508
13400,9888
13500,9825
13600,9852
13700,9951
13800,9548
13900,9675
14000,10545
14100,10365
14200,10353
14300,9992
14400,10122
14500,10378
14600,10273
14700,10512
14800,9837
14900,9597
15000,9490
15100,9555
15200,9629
15300,10121
15400,10012
15500,10412
15600,10715
15700,10878
15800,11042
15900,10984
16000,10998
16100,10494
16200,10851
16300,10621
16400,10283
16500,10376
16600,10851
16700,11119
16800,11823
16900,12327
17000,12601
17100,12353
17200,12115
